review_scores_rating,price,property_type,neighbourhood_cleansed,host_is_superhost,availability_30,availability_60,availability_90,instant_bookable,calculated_host_listings_count,reviews_per_month
97.0,146.0,Entire apartment,Western Addition,t,8,30,41,f,1,1.95
98.0,235.0,Entire apartment,Bernal Heights,f,30,60,90,f,1,0.79
84.0,56.0,Private room in apartment,Haight Ashbury,f,30,60,90,f,8,0.14
93.0,56.0,Private room in apartment,Haight Ashbury,f,30,60,90,f,8,0.1
97.0,768.0,Entire condominium,Western Addition,f,30,60,90,f,2,0.21
98.0,169.0,Private room in condominium,Mission,t,30,60,90,f,2,5.31
96.0,150.0,Entire house,Mission,t,30,60,90,f,1,2.46
99.0,120.0,Entire apartment,Nob Hill,f,29,59,89,f,1,0.16
89.0,170.0,Entire apartment,Haight Ashbury,f,0,0,0,f,39,0.27
91.0,166.0,Entire apartment,Western Addition,f,29,59,89,f,39,0.14
92.0,87.0,Entire apartment,Downtown/Civic Center,f,19,19,19,f,39,0.21
80.0,65.0,Private room in apartment,Haight Ashbury,f,30,60,90,f,8,0.05
64.0,65.0,Private room in apartment,Haight Ashbury,f,30,60,90,f,8,0.05
98.0,79.0,Private room in apartment,Castro/Upper Market,t,0,0,0,f,1,3.22
95.0,142.0,Entire townhouse,Inner Sunset,t,0,2,32,f,2,0.18
96.0,107.0,Entire apartment,Noe Valley,f,29,59,88,f,1,0.49
97.0,130.0,Private room in townhouse,Western Addition,t,30,60,89,f,2,3.78
98.0,130.0,Entire loft,Nob Hill,f,28,58,88,t,1,0.92
98.0,155.0,Entire house,Twin Peaks,t,0,0,0,f,1,3.23
98.0,152.0,Private room in apartment,Potrero Hill,t,0,0,0,f,2,2.41
100.0,146.0,Private room in house,Noe Valley,t,0,0,0,f,1,0.77
98.0,110.0,Private room in townhouse,Western Addition,t,0,0,0,f,2,3.62
95.0,125.0,Private room in house,Potrero Hill,f,30,60,90,f,1,2.53
91.0,480.0,Entire apartment,Western Addition,f,0,0,0,t,1,0.31
100.0,119.0,Entire apartment,Castro/Upper Market,t,0,0,0,f,1,1.03
95.0,180.0,Private room in condominium,Mission,t,0,0,0,f,2,0.39
98.0,176.0,Entire house,Bernal Heights,t,0,0,0,f,2,0.15
99.0,175.0,Entire apartment,Outer Richmond,t,19,49,79,f,1,0.55
96.0,150.0,Entire apartment,Bernal Heights,f,8,32,62,f,1,0.74
99.0,240.0,Entire house,Potrero Hill,t,30,60,90,f,2,4.8
95.0,107.0,Entire guest suite,Noe Valley,f,30,60,90,f,15,0.19
98.0,73.0,Entire apartment,Bernal Heights,f,13,43,73,f,2,0.19
92.0,107.0,Entire apartment,Mission,t,0,0,0,t,2,0.78
98.0,130.0,Private room in house,Bernal Heights,t,30,57,87,f,1,2.1
96.0,135.0,Entire apartment,Mission,f,30,60,90,f,1,0.82
89.0,125.0,Entire house,Glen Park,t,30,60,90,t,1,1.2
99.0,129.0,Entire condominium,Nob Hill,t,0,19,49,t,1,0.14
80.0,150.0,Entire guest suite,Potrero Hill,f,30,60,90,f,15,0.02
97.0,92.0,Entire apartment,Mission,t,30,60,90,f,1,2.31
97.0,78.0,Entire cottage,Ocean View,f,30,60,90,f,1,0.27
96.0,99.0,Entire apartment,Pacific Heights,t,30,60,90,f,9,0.22
98.0,110.0,Entire apartment,Western Addition,f,30,60,90,t,1,0.87
92.0,54.0,Private room in apartment,Pacific Heights,t,30,60,90,f,9,1.39
98.0,95.0,Private room in house,Bernal Heights,t,0,0,0,f,2,1.17
95.0,149.0,Entire apartment,Downtown/Civic Center,t,0,0,0,f,1,1.89
88.0,163.0,Entire condominium,Financial District,f,30,60,90,t,1,0.17
94.0,79.0,Entire apartment,Pacific Heights,t,30,60,90,f,9,0.32
95.0,99.0,Entire apartment,Outer Richmond,t,0,8,38,f,2,0.1
95.0,99.0,Entire apartment,Twin Peaks,t,0,0,0,f,2,0.22
93.0,45.0,Private room in apartment,Pacific Heights,t,30,60,90,f,9,1.02
99.0,107.0,Entire apartment,Haight Ashbury,f,8,11,13,f,1,1.25
92.0,178.0,Entire apartment,Bernal Heights,f,12,12,23,f,1,1.76
94.0,99.0,Private room in apartment,Mission,f,30,60,89,t,2,1.04
90.0,329.0,Entire house,Inner Sunset,f,17,17,17,f,1,0.21
97.0,135.0,Entire condominium,South of Market,t,23,53,83,f,1,1.07
96.0,125.0,Private room in condominium,Russian Hill,f,29,59,88,t,4,2.14
98.0,100.0,Private room in cottage,Bernal Heights,t,5,13,23,f,1,1.66
20.0,100.0,Private room in house,Outer Sunset,f,30,60,90,f,1,0.01
97.0,425.0,Entire house,Western Addition,t,20,50,80,t,2,1.75
97.0,85.0,Private room in apartment,Glen Park,t,0,0,0,f,2,0.52
96.0,720.0,Entire house,Mission,f,30,60,90,t,1,0.49
94.0,118.0,Entire guest suite,Mission,f,0,0,0,f,1,3.33
99.0,90.0,Private room in apartment,Marina,t,30,60,90,f,3,0.6
84.0,75.0,Entire apartment,Inner Richmond,t,0,0,0,f,2,0.87
96.0,216.0,Entire apartment,Outer Richmond,f,30,60,90,f,15,0.11
96.0,326.0,Entire apartment,Mission,t,16,46,76,f,1,0.34
98.0,80.0,Entire house,Inner Richmond,f,9,39,69,t,1,0.46
89.0,45.0,Private room in house,Excelsior,f,6,36,66,f,12,0.34
82.0,40.0,Private room in house,Excelsior,f,9,39,69,f,12,0.23
93.0,185.0,Entire apartment,Seacliff,f,0,0,0,f,15,0.06
93.0,30.0,Shared room in house,Chinatown,f,0,0,0,f,21,0.13
92.0,43.0,Shared room in hostel,Financial District,f,28,58,88,t,21,3.36
98.0,96.0,Entire guest suite,Bernal Heights,t,18,48,78,t,1,2.61
60.0,80.0,Entire apartment,Inner Richmond,f,30,60,90,f,1,0.02
92.0,80.0,Entire apartment,Western Addition,f,0,0,0,f,12,0.64
94.0,33.0,Private room in hostel,Financial District,f,22,51,80,t,21,3.65
89.0,80.0,Entire apartment,Western Addition,f,30,60,90,f,12,0.44
96.0,90.0,Entire apartment,Western Addition,f,0,0,0,f,12,0.19
84.0,40.0,Private room in house,Excelsior,f,30,60,90,f,12,0.3
100.0,35.0,Private room in house,Excelsior,f,30,60,90,f,12,0.08
88.0,43.0,Private room in house,Excelsior,f,0,8,38,f,12,0.3
98.0,125.0,Entire house,Glen Park,t,0,0,0,f,1,3.71
83.0,37.0,Private room in house,Excelsior,f,0,0,8,f,12,0.22
95.0,85.0,Private room in apartment,Mission,f,30,60,90,t,2,0.79
98.0,121.0,Entire apartment,Haight Ashbury,t,17,38,53,f,1,0.29
95.0,72.0,Entire condominium,Western Addition,t,0,0,0,f,1,0.19
98.0,85.0,Entire apartment,Outer Richmond,f,30,60,90,f,15,0.09
99.0,115.0,Private room in guest suite,Noe Valley,t,0,0,10,f,1,3.08
95.0,175.0,Entire apartment,Haight Ashbury,f,7,7,18,f,1,0.85
94.0,65.0,Private room in apartment,Pacific Heights,t,30,60,90,f,9,1.16
96.0,185.0,Entire apartment,Mission,f,0,0,0,f,1,1.86
97.0,30.0,Shared room in house,Chinatown,f,0,0,0,f,21,0.06
80.0,90.0,Private room in house,Outer Sunset,f,30,60,90,f,4,0.1
94.0,120.0,Entire guest suite,West of Twin Peaks,f,24,49,76,t,1,3.24
94.0,120.0,Entire house,Bayview,f,8,38,68,f,1,0.08
97.0,115.0,Private room in condominium,Castro/Upper Market,t,26,56,86,f,1,5.12
97.0,120.0,Entire condominium,North Beach,t,21,21,21,f,1,0.11
99.0,100.0,Entire apartment,Western Addition,f,0,0,0,f,1,0.34
97.0,165.0,Entire apartment,Haight Ashbury,f,30,60,90,f,3,0.73
99.0,285.0,Entire apartment,Castro/Upper Market,f,10,14,44,f,1,1.35
87.0,56.0,Private room in apartment,Haight Ashbury,f,30,60,90,f,8,0.11
98.0,97.0,Entire apartment,Mission,t,0,0,0,f,1,0.72
96.0,75.0,Private room in house,Bernal Heights,t,0,0,0,f,1,1.16
97.0,300.0,Entire condominium,Marina,f,0,22,52,f,1,0.63
94.0,550.0,Entire house,Inner Richmond,f,0,0,0,f,1,0.16
100.0,594.0,Entire house,Presidio,f,24,54,83,f,1,0.1
96.0,150.0,Entire apartment,Inner Sunset,f,27,57,87,f,1,0.12
97.0,140.0,Entire apartment,Inner Richmond,t,0,0,0,f,3,0.62
98.0,1200.0,Entire house,Noe Valley,f,23,53,83,f,2,0.24
99.0,150.0,Private room in house,Castro/Upper Market,t,9,39,50,f,1,0.62
98.0,375.0,Entire condominium,Outer Richmond,t,0,8,28,f,1,1.85
